 _X3D elements and attributes, shown in relaxed lowercase and strict CamelCase_

1. X3D elements from x3d-3.3.xsd schema, lower case and XML case:
================================================================================
addchildren                                addChildren
addedentities                              addedEntities
addgeometry                                addGeometry
addtrimmingcontour                         addTrimmingContour
anchor                                     Anchor
appearance                                 Appearance
appearance                                 appearance
arc2d                                      Arc2D
arcclose2d                                 ArcClose2D
attrib                                     attrib
audioclip                                  AudioClip
back                                       back
background                                 Background
backtexture                                backTexture
balljoint                                  BallJoint
billboard                                  Billboard
blendedvolumestyle                         BlendedVolumeStyle
bodies                                     bodies
body1                                      body1
body2                                      body2
booleanfilter                              BooleanFilter
booleansequencer                           BooleanSequencer
booleantoggle                              BooleanToggle
booleantrigger                             BooleanTrigger
bottom                                     bottom
bottomtexture                              bottomTexture
boundaryenhancementvolumestyle             BoundaryEnhancementVolumeStyle
boundedphysicsmodel                        BoundedPhysicsModel
box                                        Box
cadassembly                                CADAssembly
cadface                                    CADFace
cadlayer                                   CADLayer
cadpart                                    CADPart
cartoonvolumestyle                         CartoonVolumeStyle
children                                   children
circle2d                                   Circle2D
clipplane                                  ClipPlane
collidable                                 collidable
collidableoffset                           CollidableOffset
collidables                                collidables
collidableshape                            CollidableShape
collider                                   collider
collision                                  Collision
collisioncollection                        CollisionCollection
collisionsensor                            CollisionSensor
collisionspace                             CollisionSpace
color                                      color
color                                      Color
colorchaser                                ColorChaser
colordamper                                ColorDamper
colorinterpolator                          ColorInterpolator
colorramp                                  colorRamp
colorrgba                                  ColorRGBA
component                                  component
composedcubemaptexture                     ComposedCubeMapTexture
composedshader                             ComposedShader
composedtexture3d                          ComposedTexture3D
composedvolumestyle                        ComposedVolumeStyle
cone                                       Cone
coneemitter                                ConeEmitter
connect                                    connect
contact                                    Contact
contacts                                   contacts
contour2d                                  Contour2D
contourpolyline2d                          ContourPolyline2D
controlpoint                               controlPoint
coord                                      coord
coordinate                                 Coordinate
coordinatechaser                           CoordinateChaser
coordinatedamper                           CoordinateDamper
coordinatedouble                           CoordinateDouble
coordinateinterpolator                     CoordinateInterpolator
coordinateinterpolator2d                   CoordinateInterpolator2D
crosssectioncurve                          crossSectionCurve
cylinder                                   Cylinder
